"Sample_Num","Rat_ID","Brain_Region","Substance","Sex","SAMPLE_ID","Num_Fentanyl_Sessions_six_hrs","Total_Num_Fentanyl_Sessions","Batch_RNA_extraction","Batch_lib_prep","Batch_seq","RNA_concentration","Total_RNA_amount","RIN_LIBD","Psomagen_RIN","RIN","library_size","detected_num_genes","mitoRate","totalAssignedGene","overallMapRate","concordMapRate"
22,"LgA 15","Amygdala","Fentanyl","Male","6_F_Amyg_15","18","24","2","2","2",835.6,0.427,7.6,"7.9",7.9,23744580,20204,0.0254708156362137,0.42527787506675,0.966,0.9573
23,"LgA 19","Amygdala","Fentanyl","Male","7_F_Amyg_19","18","24","2","2","2",250,0.433,NA,"8.1",8.1,24414001,20299,0.0268621548893781,0.417929546571796,0.9702,0.9625
24,"LgA 21","Amygdala","Fentanyl","Male","8_F_Amyg_21","18","24","2","2","2",467.4,0.517,NA,"8.1",8.1,24925343,20611,0.0299961424794553,0.431837296271756,0.9633,0.9561
25,"LgA 02","Amygdala","Saline","Male","9_S_Amyg_02","16","22","2","2","2",897.9,0.348,NA,"8.2",8.2,21975867,20473,0.0315377517687178,0.389899044881722,0.9688,0.961
26,"LgA 06","Amygdala","Saline","Male","10_S_Amyg_06","16","22","2","3","2",882.3,0.495,NA,"8.1",8.1,16758282,20052,0.0210058942628522,0.372202027007713,0.9571,0.9328
27,"LgA 08","Amygdala","Saline","Male","11_S_Amyg_08","16","22","2","2","2",491.5,0.368,NA,"7.8",7.8,19277390,20320,0.0333663020570754,0.372578873382703,0.972,0.964
28,"LgA 10","Amygdala","Saline","Male","12_S_Amyg_10","16","22","2","2","2",554.5,0.363,NA,"7.9",7.9,18412342,20374,0.0253810318625269,0.372235055723434,0.969,0.9602
29,"LgA 22","Amygdala","Saline","Male","34_S_Amyg_22","18","24","3","2","2",522.1,0.558,NA,"8.3",8.3,29142101,20211,0.0473381883675559,0.50335218925576,0.9609,0.9551
30,"LgA 14","Amygdala","Saline","Male","14_S_Amyg_14","18","24","2","3","2",602.6,0.661,NA,"7.8",7.8,18473958,20242,0.0155050114087892,0.395634535397025,0.9673,0.9573
31,"LgA 16","Amygdala","Saline","Male","15_S_Amyg_16","18","24","2","2","2",690.9,0.314,NA,"7.4",7.4,16198456,20226,0.0270103189677108,0.334033929740401,0.9676,0.9588
32,"LgA 18","Amygdala","Saline","Male","16_S_Amyg_18","18","24","2","2","2",384.3,0.389,NA,"7.9",7.9,16648415,20284,0.0284194453043272,0.363184407368961,0.9692,0.9616
33,"LgA 20","Amygdala","Saline","Male","33_S_Amyg_20","18","24","3","3","2",305.6,1.08,NA,"8.3",8.3,19576809,19875,0.0380951835026537,0.428829622578497,0.9773,0.9645
