"gene"	"cellType.target"	"mean.target"	"cellType.2nd"	"mean.2nd"	"MeanRatio"	"MeanRatio.rank"	"MeanRatio.anno"	"Cell_type_resolution"
"Gm3764"	"Astrocyte1"	2.62776355836933	"Astrocyte2"	1.758310134156	1.49448240519337	1	"Astrocyte1/Astrocyte2: 1.494"	"All"
"Son"	"Astrocyte1"	2.68046233244434	"Astrocyte2"	2.10378012764493	1.27411714618912	2	"Astrocyte1/Astrocyte2: 1.274"	"All"
"Pnisr"	"Astrocyte1"	1.44379203275163	"OPC3"	1.1369629983339	1.26986721192101	3	"Astrocyte1/OPC3: 1.27"	"All"
"Pitpnc1"	"Astrocyte1"	1.17971788759047	"Astrocyte2"	1.04321455002631	1.13084876697772	4	"Astrocyte1/Astrocyte2: 1.131"	"All"
"Malat1"	"Astrocyte1"	9.63215361209016	"Oligo3"	8.8562301157031	1.0876132943984	5	"Astrocyte1/Oligo3: 1.088"	"All"
"Atp1a2"	"Astrocyte1"	4.45478985950752	"Astrocyte2"	4.36607854174548	1.02031830552608	6	"Astrocyte1/Astrocyte2: 1.02"	"All"
"Ntm"	"Astrocyte1"	1.90901924385066	"Neuron4"	1.87167297478289	1.01995341577879	7	"Astrocyte1/Neuron4: 1.02"	"All"
"Gjb6"	"Astrocyte1"	1.0734909268211	"Astrocyte2"	1.08390868605653	0.990388711365219	8	"Astrocyte1/Astrocyte2: 0.99"	"All"
"Macf1"	"Astrocyte1"	1.22364022032192	"Astrocyte2"	1.26646543783208	0.966185245778618	9	"Astrocyte1/Astrocyte2: 0.966"	"All"
"Slc6a1"	"Astrocyte1"	1.85714343783975	"Astrocyte2"	1.97506796680438	0.940293432455678	10	"Astrocyte1/Astrocyte2: 0.94"	"All"
"Zbtb20"	"Astrocyte1"	1.55270623390753	"OPC2"	1.66018221938952	0.935262536710273	11	"Astrocyte1/OPC2: 0.935"	"All"
"Rsrp1"	"Astrocyte1"	1.32055182660281	"Neuron4"	1.43422833677717	0.920740298277884	12	"Astrocyte1/Neuron4: 0.921"	"All"
