"gene"	"cellType.target"	"mean.target"	"cellType.2nd"	"mean.2nd"	"MeanRatio"	"MeanRatio.rank"	"MeanRatio.anno"	"Cell_type_resolution"
"Slc1a3"	"Astrocyte1"	1.8869007980433	"Astrocyte2"	2.05828907210932	0.916732651215809	13	"Astrocyte1/Astrocyte2: 0.917"	"All"
"Plpp3"	"Astrocyte1"	2.32171684662869	"Astrocyte2"	2.55787199925295	0.907675148446354	14	"Astrocyte1/Astrocyte2: 0.908"	"All"
"Gria2"	"Astrocyte1"	1.83715684639449	"Neuron4"	2.04956499775167	0.896364276522	15	"Astrocyte1/Neuron4: 0.896"	"All"
"Sox9"	"Astrocyte1"	1.29256156378666	"Astrocyte2"	1.44433762009472	0.894916497225835	16	"Astrocyte1/Astrocyte2: 0.895"	"All"
"Ogt"	"Astrocyte1"	1.33698067371946	"Neuron4"	1.51520936192525	0.882373556628943	17	"Astrocyte1/Neuron4: 0.882"	"All"
"Mt1"	"Astrocyte1"	4.71350091076033	"Astrocyte2"	5.38996907330303	0.874494982560604	18	"Astrocyte1/Astrocyte2: 0.874"	"All"
"Mt2"	"Astrocyte1"	3.26380999665668	"Astrocyte2"	3.73324174146013	0.874256269131972	19	"Astrocyte1/Astrocyte2: 0.874"	"All"
"Atp1b2"	"Astrocyte1"	2.77954855456366	"Astrocyte2"	3.19308492616403	0.870490017909681	20	"Astrocyte1/Astrocyte2: 0.87"	"All"
"Bcan"	"Astrocyte1"	1.39800714523503	"Astrocyte2"	1.62975801502142	0.857800441752486	21	"Astrocyte1/Astrocyte2: 0.858"	"All"
"Slc6a11"	"Astrocyte1"	2.54484870079574	"Astrocyte2"	2.99483725099635	0.849745240730228	22	"Astrocyte1/Astrocyte2: 0.85"	"All"
"Slc7a11"	"Astrocyte1"	1.15400627211862	"Astrocyte2"	1.36168737079255	0.847482540318305	23	"Astrocyte1/Astrocyte2: 0.847"	"All"
"Kcnj10"	"Astrocyte1"	1.14765115726511	"Astrocyte2"	1.3550913535056	0.846917924976904	24	"Astrocyte1/Astrocyte2: 0.847"	"All"
"S1pr1"	"Astrocyte1"	1.26961335531045	"Astrocyte2"	1.53595503090473	0.826595394894214	25	"Astrocyte1/Astrocyte2: 0.827"	"All"
"Mt3"	"Astrocyte1"	3.19540399640369	"Astrocyte2"	3.87238210163996	0.825177865337832	26	"Astrocyte1/Astrocyte2: 0.825"	"All"
"Rbm39"	"Astrocyte1"	1.24198453028281	"Endothelial"	1.5087110277729	0.823209022417089	27	"Astrocyte1/Endothelial: 0.823"	"All"
"Hnrnpa2b1"	"Astrocyte1"	1.15689790581166	"Astrocyte2"	1.41246100545738	0.819065376914272	28	"Astrocyte1/Astrocyte2: 0.819"	"All"
"Fgfr3"	"Astrocyte1"	1.16657582574898	"Astrocyte2"	1.55069099396944	0.752294190322725	29	"Astrocyte1/Astrocyte2: 0.752"	"All"
"Id2"	"Astrocyte1"	1.15663568798914	"Astrocyte2"	1.53782022986173	0.752126721660531	30	"Astrocyte1/Astrocyte2: 0.752"	"All"
"Prnp"	"Astrocyte1"	1.6275982906535	"Astrocyte2"	2.17995338087919	0.746620686905275	31	"Astrocyte1/Astrocyte2: 0.747"	"All"
"Slc1a2"	"Astrocyte1"	2.31294323231736	"Astrocyte2"	3.12011633279274	0.741300318840068	32	"Astrocyte1/Astrocyte2: 0.741"	"All"
"Prdx6"	"Astrocyte1"	1.39753243316392	"Astrocyte2"	1.89231446176204	0.738530757653567	33	"Astrocyte1/Astrocyte2: 0.739"	"All"
"mt-Co3"	"Astrocyte1"	4.7016434137157	"Neuron7"	6.41667830919905	0.732722319424265	34	"Astrocyte1/Neuron7: 0.733"	"All"
"Gja1"	"Astrocyte1"	2.60445019270487	"Astrocyte2"	3.60927160701211	0.721599944887753	35	"Astrocyte1/Astrocyte2: 0.722"	"All"
"Gpr37l1"	"Astrocyte1"	1.46871853595315	"Astrocyte2"	2.06047654928433	0.712805266559956	36	"Astrocyte1/Astrocyte2: 0.713"	"All"
"Ntsr2"	"Astrocyte1"	1.47194594985037	"Astrocyte2"	2.07211385656621	0.710359590128699	37	"Astrocyte1/Astrocyte2: 0.71"	"All"
"mt-Co1"	"Astrocyte1"	4.06053650498348	"Neuron7"	5.73812141494636	0.707642137792136	38	"Astrocyte1/Neuron7: 0.708"	"All"
"mt-Cytb"	"Astrocyte1"	3.62824743241409	"Neuron7"	5.14431755026206	0.705292275790647	39	"Astrocyte1/Neuron7: 0.705"	"All"
"Apoe"	"Astrocyte1"	3.07563569434469	"Astrocyte2"	4.38597797779919	0.701242849351466	40	"Astrocyte1/Astrocyte2: 0.701"	"All"
"mt-Atp6"	"Astrocyte1"	4.33645885235475	"Neuron7"	6.20366053942377	0.699016141324448	41	"Astrocyte1/Neuron7: 0.699"	"All"
"Cst3"	"Astrocyte1"	3.98652694924089	"Microglia"	5.87650003966661	0.678384569442981	42	"Astrocyte1/Microglia: 0.678"	"All"
"Ndrg2"	"Astrocyte1"	1.66825375689921	"Astrocyte2"	2.47278860193499	0.674644713095887	43	"Astrocyte1/Astrocyte2: 0.675"	"All"
"Ckb"	"Astrocyte1"	1.44556657822503	"Astrocyte2"	2.17195521394412	0.665560030402273	44	"Astrocyte1/Astrocyte2: 0.666"	"All"
"Slc4a4"	"Astrocyte1"	1.56181352927689	"Astrocyte2"	2.37615956718206	0.657284784594274	45	"Astrocyte1/Astrocyte2: 0.657"	"All"
"Dclk1"	"Astrocyte1"	1.0989624688973	"Neuron1"	1.70261967700126	0.645453875426164	46	"Astrocyte1/Neuron1: 0.645"	"All"
"mt-Nd2"	"Astrocyte1"	2.35353964464239	"Neuron7"	3.75356055099898	0.627015233313875	47	"Astrocyte1/Neuron7: 0.627"	"All"
"mt-Nd4"	"Astrocyte1"	3.01686059422621	"Neuron7"	4.9637669129207	0.607776442196211	48	"Astrocyte1/Neuron7: 0.608"	"All"
"mt-Nd1"	"Astrocyte1"	3.48740148851483	"Neuron7"	5.75357912848116	0.60612731842891	49	"Astrocyte1/Neuron7: 0.606"	"All"
"Glul"	"Astrocyte1"	1.78998855367197	"Astrocyte2"	3.00919978227274	0.594838722313098	50	"Astrocyte1/Astrocyte2: 0.595"	"All"
"Ank2"	"Astrocyte1"	1.16134000219197	"Oligo1"	1.99132914783247	0.583198414715155	51	"Astrocyte1/Oligo1: 0.583"	"All"
"Sparcl1"	"Astrocyte1"	1.85992059883049	"Astrocyte2"	3.20800106519771	0.579775555254022	52	"Astrocyte1/Astrocyte2: 0.58"	"All"
"Ttyh1"	"Astrocyte1"	1.54720632082495	"Astrocyte2"	2.6783317740303	0.577675378318326	53	"Astrocyte1/Astrocyte2: 0.578"	"All"
"Cox8a"	"Astrocyte1"	1.67585477340703	"Neuron1"	2.90778033933934	0.576334721964517	54	"Astrocyte1/Neuron1: 0.576"	"All"
"mt-Co2"	"Astrocyte1"	2.69880947900155	"Neuron7"	4.75622499988391	0.567426788906626	55	"Astrocyte1/Neuron7: 0.567"	"All"
"Tsc22d4"	"Astrocyte1"	1.26430736369693	"Oligo3"	2.24869298812403	0.562240986374789	56	"Astrocyte1/Oligo3: 0.562"	"All"
"Dbi"	"Astrocyte1"	1.14007498406911	"Astrocyte2"	2.05550141156232	0.554645682876263	57	"Astrocyte1/Astrocyte2: 0.555"	"All"
"Aldoc"	"Astrocyte1"	1.46978518970376	"Astrocyte2"	2.68344142349952	0.547723969985896	58	"Astrocyte1/Astrocyte2: 0.548"	"All"
"Ptprz1"	"Astrocyte1"	1.32681972662544	"OPC2"	2.45338174067972	0.54081258722413	59	"Astrocyte1/OPC2: 0.541"	"All"
"Cd81"	"Astrocyte1"	1.17405295729532	"Astrocyte2"	2.2015049885794	0.53329561522044	60	"Astrocyte1/Astrocyte2: 0.533"	"All"
"Id3"	"Astrocyte1"	1.53132828769655	"Endothelial"	2.94533242696729	0.519916962063705	61	"Astrocyte1/Endothelial: 0.52"	"All"
"Qk"	"Astrocyte1"	1.57443809333973	"OPC3"	3.10573801792537	0.506944914301386	62	"Astrocyte1/OPC3: 0.507"	"All"
"Eif1"	"Astrocyte1"	1.2942912008807	"Mural"	2.56936081390613	0.503740538843597	63	"Astrocyte1/Mural: 0.504"	"All"
"Actb"	"Astrocyte1"	1.85817765171039	"Microglia"	3.8871774894884	0.478027477967041	64	"Astrocyte1/Microglia: 0.478"	"All"
"Rpl41"	"Astrocyte1"	2.11103290068211	"Endothelial"	4.4674507269733	0.472536359032736	65	"Astrocyte1/Endothelial: 0.473"	"All"
"Sepp1"	"Astrocyte1"	1.28252179821645	"Microglia"	2.83620017289251	0.452197207543521	66	"Astrocyte1/Microglia: 0.452"	"All"
"Ntrk2"	"Astrocyte1"	1.20366440792659	"Astrocyte2"	2.77299930117565	0.434065889384207	67	"Astrocyte1/Astrocyte2: 0.434"	"All"
"Fth1"	"Astrocyte1"	2.92220272025561	"Oligo1"	6.97615833500954	0.418884231109071	68	"Astrocyte1/Oligo1: 0.419"	"All"
"Scd2"	"Astrocyte1"	1.28652508636549	"Astrocyte2"	3.24185122845427	0.396848897652503	69	"Astrocyte1/Astrocyte2: 0.397"	"All"
"Clu"	"Astrocyte1"	1.15132906921824	"Astrocyte2"	2.94635414535943	0.390763978943809	70	"Astrocyte1/Astrocyte2: 0.391"	"All"
"Aqp4"	"Astrocyte1"	1.17567288605997	"Astrocyte2"	3.28539728994515	0.357848011154716	71	"Astrocyte1/Astrocyte2: 0.358"	"All"
"Rpl37"	"Astrocyte1"	1.18699929823983	"Neuron3"	3.55386662834175	0.33400220727858	72	"Astrocyte1/Neuron3: 0.334"	"All"
"Ftl1"	"Astrocyte1"	1.42631980877679	"Microglia"	4.39736758962652	0.324357648003207	73	"Astrocyte1/Microglia: 0.324"	"All"
"Rps8"	"Astrocyte1"	1.1913944128406	"Neuron3"	3.73551979217383	0.318936715403476	74	"Astrocyte1/Neuron3: 0.319"	"All"
"Rps27"	"Astrocyte1"	1.21327665209452	"Microglia"	4.10809721205984	0.295337863118914	75	"Astrocyte1/Microglia: 0.295"	"All"
"Rps29"	"Astrocyte1"	1.54538005010815	"Microglia"	5.40032485918712	0.286164275373012	76	"Astrocyte1/Microglia: 0.286"	"All"
"Pcp4"	"Astrocyte1"	1.35496165726653	"Neuron3"	5.83799997198409	0.232093467586303	77	"Astrocyte1/Neuron3: 0.232"	"All"
"Tmsb4x"	"Astrocyte1"	1.21856658088336	"Microglia"	6.26981515406832	0.194354466748938	78	"Astrocyte1/Microglia: 0.194"	"All"
"Gfap"	"Astrocyte2"	1.3661956417526	"Astrocyte1"	0.0644764246077519	21.1890725961307	1	"Astrocyte2/Astrocyte1: 21.189"	"All"
"Mlc1"	"Astrocyte2"	1.2755710714578	"Astrocyte1"	0.315197868372577	4.04688990456629	2	"Astrocyte2/Astrocyte1: 4.047"	"All"
"Fads1"	"Astrocyte2"	1.22345169119286	"OPC3"	0.369813261567093	3.30829588427536	3	"Astrocyte2/OPC3: 3.308"	"All"
"Adcyap1r1"	"Astrocyte2"	1.29722635483819	"OPC2"	0.412593461535809	3.14407879855752	4	"Astrocyte2/OPC2: 3.144"	"All"
"Pygb"	"Astrocyte2"	0.91066924492621	"Astrocyte1"	0.301144950037765	3.02402296572467	5	"Astrocyte2/Astrocyte1: 3.024"	"All"
"Aqp4"	"Astrocyte2"	3.28539728994515	"Astrocyte1"	1.17567288605997	2.79448248649801	6	"Astrocyte2/Astrocyte1: 2.794"	"All"
"Cpe"	"Astrocyte2"	3.60328361166091	"Neuron4"	1.35540054179597	2.65846404848443	7	"Astrocyte2/Neuron4: 2.658"	"All"
"Clu"	"Astrocyte2"	2.94635414535943	"Astrocyte1"	1.15132906921824	2.55908951153299	8	"Astrocyte2/Astrocyte1: 2.559"	"All"
"Glud1"	"Astrocyte2"	1.3563087980037	"Astrocyte1"	0.535859651890739	2.53108961127801	9	"Astrocyte2/Astrocyte1: 2.531"	"All"
"Tmem47"	"Astrocyte2"	1.82066933792314	"Astrocyte1"	0.759544622334005	2.3970538193377	10	"Astrocyte2/Astrocyte1: 2.397"	"All"
"Ntrk2"	"Astrocyte2"	2.77299930117565	"Astrocyte1"	1.20366440792659	2.30379770550195	11	"Astrocyte2/Astrocyte1: 2.304"	"All"
"Paqr8"	"Astrocyte2"	1.24852258089408	"Astrocyte1"	0.578640723767108	2.15768183885479	12	"Astrocyte2/Astrocyte1: 2.158"	"All"
"Slc39a12"	"Astrocyte2"	1.09890176880262	"Astrocyte1"	0.518503709510618	2.11937108384394	13	"Astrocyte2/Astrocyte1: 2.119"	"All"
"Pla2g7"	"Astrocyte2"	1.24785454265474	"Astrocyte1"	0.590455604878595	2.11337572604008	14	"Astrocyte2/Astrocyte1: 2.113"	"All"
"Mmd2"	"Astrocyte2"	1.92972339431296	"Astrocyte1"	1.01495956251291	1.90128106142004	15	"Astrocyte2/Astrocyte1: 1.901"	"All"
"Luzp2"	"Astrocyte2"	1.67116897432587	"OPC3"	0.885848647643269	1.88651749796298	16	"Astrocyte2/OPC3: 1.887"	"All"
"Agt"	"Astrocyte2"	1.61541303129623	"Astrocyte1"	0.870694984579201	1.85531450152655	17	"Astrocyte2/Astrocyte1: 1.855"	"All"
"Adgrg1"	"Astrocyte2"	1.05692567472103	"Astrocyte1"	0.572732497180342	1.84540894732612	18	"Astrocyte2/Astrocyte1: 1.845"	"All"
"Aldoc"	"Astrocyte2"	2.68344142349952	"Astrocyte1"	1.46978518970376	1.8257371500936	19	"Astrocyte2/Astrocyte1: 1.826"	"All"
"Sdc4"	"Astrocyte2"	1.99644641988278	"Astrocyte1"	1.09908049697454	1.81646969933361	20	"Astrocyte2/Astrocyte1: 1.816"	"All"
"Ttyh1"	"Astrocyte2"	2.6783317740303	"Astrocyte1"	1.54720632082495	1.73107602908593	21	"Astrocyte2/Astrocyte1: 1.731"	"All"
"Slc38a1"	"Astrocyte2"	1.19981635732267	"Neuron8"	0.693922038345054	1.72903624762247	22	"Astrocyte2/Neuron8: 1.729"	"All"
"Sparcl1"	"Astrocyte2"	3.20800106519771	"Astrocyte1"	1.85992059883049	1.72480538535617	23	"Astrocyte2/Astrocyte1: 1.725"	"All"
"Gstm1"	"Astrocyte2"	0.993467081807659	"Astrocyte1"	0.580321757949214	1.71192458011302	24	"Astrocyte2/Astrocyte1: 1.712"	"All"
"2310022B05Rik"	"Astrocyte2"	0.967908229305859	"Astrocyte1"	0.566476438103332	1.70864693427779	25	"Astrocyte2/Astrocyte1: 1.709"	"All"
"Rgma"	"Astrocyte2"	0.945087785818162	"Astrocyte1"	0.566592299361016	1.66802088006491	26	"Astrocyte2/Astrocyte1: 1.668"	"All"
"Hepacam"	"Astrocyte2"	1.24345829884762	"Astrocyte1"	0.745924979106668	1.66700182146576	27	"Astrocyte2/Astrocyte1: 1.667"	"All"
"Laptm4a"	"Astrocyte2"	1.20528588005488	"Mural"	0.757114065971132	1.59194754691143	28	"Astrocyte2/Mural: 1.592"	"All"
"Acsl6"	"Astrocyte2"	1.17343890704544	"Astrocyte1"	0.740484657452203	1.58469037168563	29	"Astrocyte2/Astrocyte1: 1.585"	"All"
"Lrrc58"	"Astrocyte2"	0.807632077102109	"Mural"	0.530459037921045	1.52251544297813	30	"Astrocyte2/Mural: 1.523"	"All"
"Slc4a4"	"Astrocyte2"	2.37615956718206	"Astrocyte1"	1.56181352927689	1.52141054142502	31	"Astrocyte2/Astrocyte1: 1.521"	"All"
"Ckb"	"Astrocyte2"	2.17195521394412	"Astrocyte1"	1.44556657822503	1.50249407164007	32	"Astrocyte2/Astrocyte1: 1.502"	"All"
"Gprc5b"	"Astrocyte2"	1.1942029723431	"Oligo1"	0.798801688922767	1.49499304884239	33	"Astrocyte2/Oligo1: 1.495"	"All"
"Ndrg2"	"Astrocyte2"	2.47278860193499	"Astrocyte1"	1.66825375689921	1.48226167134859	34	"Astrocyte2/Astrocyte1: 1.482"	"All"
"Ednrb"	"Astrocyte2"	0.959896464525345	"Astrocyte1"	0.649832248245041	1.47714501260544	35	"Astrocyte2/Astrocyte1: 1.477"	"All"
"Appl2"	"Astrocyte2"	0.934644601156804	"Astrocyte1"	0.652790219274602	1.43176869622129	36	"Astrocyte2/Astrocyte1: 1.432"	"All"
"Apoe"	"Astrocyte2"	4.38597797779919	"Astrocyte1"	3.07563569434469	1.42603949676611	37	"Astrocyte2/Astrocyte1: 1.426"	"All"
"Tprkb"	"Astrocyte2"	1.214766766632	"Astrocyte1"	0.854991838812544	1.42079340584014	38	"Astrocyte2/Astrocyte1: 1.421"	"All"
"Sfxn5"	"Astrocyte2"	1.36120822842292	"Astrocyte1"	0.958961822558	1.41946029174753	39	"Astrocyte2/Astrocyte1: 1.419"	"All"
"Ntsr2"	"Astrocyte2"	2.07211385656621	"Astrocyte1"	1.47194594985037	1.40773773437595	40	"Astrocyte2/Astrocyte1: 1.408"	"All"
"Gpr37l1"	"Astrocyte2"	2.06047654928433	"Astrocyte1"	1.46871853595315	1.40290770412803	41	"Astrocyte2/Astrocyte1: 1.403"	"All"
"Gja1"	"Astrocyte2"	3.60927160701211	"Astrocyte1"	2.60445019270487	1.38580941847987	42	"Astrocyte2/Astrocyte1: 1.386"	"All"
"Prdx6"	"Astrocyte2"	1.89231446176204	"Astrocyte1"	1.39753243316392	1.35403974666832	43	"Astrocyte2/Astrocyte1: 1.354"	"All"
"Slc1a2"	"Astrocyte2"	3.12011633279274	"Astrocyte1"	2.31294323231736	1.34898093874386	44	"Astrocyte2/Astrocyte1: 1.349"	"All"
"Nfia"	"Astrocyte2"	1.14555218297993	"Astrocyte1"	0.852956856520227	1.34303649032542	45	"Astrocyte2/Astrocyte1: 1.343"	"All"
"Prnp"	"Astrocyte2"	2.17995338087919	"Astrocyte1"	1.6275982906535	1.33936819262935	46	"Astrocyte2/Astrocyte1: 1.339"	"All"
"Itgb8"	"Astrocyte2"	0.936214382025143	"OPC2"	0.700619206117236	1.33626708181974	47	"Astrocyte2/OPC2: 1.336"	"All"
"Psap"	"Astrocyte2"	2.57028319400806	"Neuron4"	1.92654538140115	1.33414100639494	48	"Astrocyte2/Neuron4: 1.334"	"All"
"Id2"	"Astrocyte2"	1.53782022986173	"Astrocyte1"	1.15663568798914	1.32956318556562	49	"Astrocyte2/Astrocyte1: 1.33"	"All"
"Fgfr3"	"Astrocyte2"	1.55069099396944	"Astrocyte1"	1.16657582574898	1.32926721070518	50	"Astrocyte2/Astrocyte1: 1.329"	"All"
"Glul"	"Astrocyte2"	3.00919978227274	"Oligo1"	2.27808279637058	1.32093521230526	51	"Astrocyte2/Oligo1: 1.321"	"All"
"Cd81"	"Astrocyte2"	2.2015049885794	"Oligo3"	1.672435872714	1.31634642888091	52	"Astrocyte2/Oligo3: 1.316"	"All"
"Gpm6b"	"Astrocyte2"	2.59549327956512	"Oligo1"	1.99020495832376	1.30413366156578	53	"Astrocyte2/Oligo1: 1.304"	"All"
"Ahcyl1"	"Astrocyte2"	0.887381108838567	"Neuron1"	0.694886836661388	1.27701528079309	54	"Astrocyte2/Neuron1: 1.277"	"All"
"Hnrnpa2b1"	"Astrocyte2"	1.41246100545738	"Astrocyte1"	1.15689790581166	1.22090376200173	55	"Astrocyte2/Astrocyte1: 1.221"	"All"
"Serpine2"	"Astrocyte2"	1.61787940827124	"OPC2"	1.32948077409044	1.21692576515679	56	"Astrocyte2/OPC2: 1.217"	"All"
"Mt3"	"Astrocyte2"	3.87238210163996	"Astrocyte1"	3.19540399640369	1.21185994196608	57	"Astrocyte2/Astrocyte1: 1.212"	"All"
"S1pr1"	"Astrocyte2"	1.53595503090473	"Astrocyte1"	1.26961335531045	1.20978172171886	58	"Astrocyte2/Astrocyte1: 1.21"	"All"
"Cd63"	"Astrocyte2"	0.980601847832844	"Neuron1"	0.830332433462003	1.18097500267972	59	"Astrocyte2/Neuron1: 1.181"	"All"
"Kcnj10"	"Astrocyte2"	1.3550913535056	"Astrocyte1"	1.14765115726511	1.18075196014687	60	"Astrocyte2/Astrocyte1: 1.181"	"All"
"Slc7a11"	"Astrocyte2"	1.36168737079255	"Astrocyte1"	1.15400627211862	1.17996531188054	61	"Astrocyte2/Astrocyte1: 1.18"	"All"
"Slc6a11"	"Astrocyte2"	2.99483725099635	"Astrocyte1"	2.54484870079574	1.17682330193536	62	"Astrocyte2/Astrocyte1: 1.177"	"All"
"Bcan"	"Astrocyte2"	1.62975801502142	"Astrocyte1"	1.39800714523503	1.16577230708462	63	"Astrocyte2/Astrocyte1: 1.166"	"All"
"Atp1b2"	"Astrocyte2"	3.19308492616403	"Astrocyte1"	2.77954855456366	1.14877825067002	64	"Astrocyte2/Astrocyte1: 1.149"	"All"
"Dbi"	"Astrocyte2"	2.05550141156232	"OPC2"	1.79329894127876	1.14621235994072	65	"Astrocyte2/OPC2: 1.146"	"All"
"Mt2"	"Astrocyte2"	3.73324174146013	"Astrocyte1"	3.26380999665668	1.14382937281408	66	"Astrocyte2/Astrocyte1: 1.144"	"All"
"Mt1"	"Astrocyte2"	5.38996907330303	"Astrocyte1"	4.71350091076033	1.14351713839673	67	"Astrocyte2/Astrocyte1: 1.144"	"All"
"Itm2c"	"Astrocyte2"	1.87595481224983	"Neuron3"	1.65556440922868	1.13312100803365	68	"Astrocyte2/Neuron3: 1.133"	"All"
"Htra1"	"Astrocyte2"	0.917145093359692	"Astrocyte1"	0.819098691221782	1.11970035258103	69	"Astrocyte2/Astrocyte1: 1.12"	"All"
"Sox9"	"Astrocyte2"	1.44433762009472	"Astrocyte1"	1.29256156378666	1.11742269038499	70	"Astrocyte2/Astrocyte1: 1.117"	"All"
"Fxyd1"	"Astrocyte2"	1.14133572035758	"Mural"	1.03421006073747	1.10358210936734	71	"Astrocyte2/Mural: 1.104"	"All"
"Plpp3"	"Astrocyte2"	2.55787199925295	"Astrocyte1"	2.32171684662869	1.10171574236849	72	"Astrocyte2/Astrocyte1: 1.102"	"All"
"Slc1a3"	"Astrocyte2"	2.05828907210932	"Astrocyte1"	1.8869007980433	1.09083056949456	73	"Astrocyte2/Astrocyte1: 1.091"	"All"
"Slc6a1"	"Astrocyte2"	1.97506796680438	"Astrocyte1"	1.85714343783975	1.06349780343397	74	"Astrocyte2/Astrocyte1: 1.063"	"All"
"Scd2"	"Astrocyte2"	3.24185122845427	"Oligo1"	3.12792542187614	1.03642216204432	75	"Astrocyte2/Oligo1: 1.036"	"All"
"Macf1"	"Astrocyte2"	1.26646543783208	"Astrocyte1"	1.22364022032192	1.0349982100939	76	"Astrocyte2/Astrocyte1: 1.035"	"All"
"Tril"	"Astrocyte2"	1.00348217461021	"Astrocyte1"	0.971573863406769	1.03284187894017	77	"Astrocyte2/Astrocyte1: 1.033"	"All"
"Gabrb1"	"Astrocyte2"	0.926224431741601	"Astrocyte1"	0.902238859660776	1.02658450345382	78	"Astrocyte2/Astrocyte1: 1.027"	"All"
"Gjb6"	"Astrocyte2"	1.08390868605653	"Astrocyte1"	1.0734909268211	1.00970456198105	79	"Astrocyte2/Astrocyte1: 1.01"	"All"
"Mat2a"	"Astrocyte2"	1.00124411851672	"Astrocyte1"	0.994375579477883	1.00690738909985	80	"Astrocyte2/Astrocyte1: 1.007"	"All"
"mt-Nd2"	"Astrocyte2"	3.68053192516739	"Neuron7"	3.75356055099898	0.980544172702327	81	"Astrocyte2/Neuron7: 0.981"	"All"
"Atp1a2"	"Astrocyte2"	4.36607854174548	"Astrocyte1"	4.45478985950752	0.980086306972997	82	"Astrocyte2/Astrocyte1: 0.98"	"All"
"mt-Co1"	"Astrocyte2"	5.51755237309513	"Neuron7"	5.73812141494636	0.961560757275594	83	"Astrocyte2/Neuron7: 0.962"	"All"
"Csnk1a1"	"Astrocyte2"	0.787629530224943	"OPC3"	0.819410373808273	0.961214985068316	84	"Astrocyte2/OPC3: 0.961"	"All"
"Enho"	"Astrocyte2"	0.866727566938362	"Astrocyte1"	0.904000269758146	0.958769146352406	85	"Astrocyte2/Astrocyte1: 0.959"	"All"
"Ptn"	"Astrocyte2"	1.60417730533831	"OPC2"	1.69850167327773	0.944466131871745	86	"Astrocyte2/OPC2: 0.944"	"All"
"mt-Cytb"	"Astrocyte2"	4.81943525842778	"Neuron7"	5.14431755026206	0.936846376869225	87	"Astrocyte2/Neuron7: 0.937"	"All"
"mt-Co3"	"Astrocyte2"	5.91200224190729	"Neuron7"	6.41667830919905	0.92134932702357	88	"Astrocyte2/Neuron7: 0.921"	"All"
"Gpm6a"	"Astrocyte2"	2.05669485881606	"Neuron4"	2.25618706421378	0.911579935652526	89	"Astrocyte2/Neuron4: 0.912"	"All"
"mt-Atp6"	"Astrocyte2"	5.65076870342592	"Neuron7"	6.20366053942377	0.910876516778397	90	"Astrocyte2/Neuron7: 0.911"	"All"
"Zfp36l1"	"Astrocyte2"	0.94544367907726	"OPC2"	1.03872501816308	0.910196310424118	91	"Astrocyte2/OPC2: 0.91"	"All"
"Fut9"	"Astrocyte2"	0.942998213306192	"Astrocyte1"	1.03975325869446	0.906944224911825	92	"Astrocyte2/Astrocyte1: 0.907"	"All"
"mt-Nd4"	"Astrocyte2"	4.46638894298788	"Neuron7"	4.9637669129207	0.899798282502318	93	"Astrocyte2/Neuron7: 0.9"	"All"
"mt-Nd4l"	"Astrocyte2"	1.65152127152007	"Neuron7"	1.83621355834425	0.89941677209337	94	"Astrocyte2/Neuron7: 0.899"	"All"
"Pitpnc1"	"Astrocyte2"	1.04321455002631	"Astrocyte1"	1.17971788759047	0.884291542071165	95	"Astrocyte2/Astrocyte1: 0.884"	"All"
"Chchd10"	"Astrocyte2"	1.14702937784762	"Neuron8"	1.31086163955481	0.875019409552006	96	"Astrocyte2/Neuron8: 0.875"	"All"
